persona,family,topology,n_live_continuous,n_dead_continuous,continuous_MPR,continuous_meanNodeMPR,n_live_dual,n_dead_dual,discrete_MPR,discrete_meanNodeMPR,kStar_rate_continuous,kStar_rate_dual
climate_action_advocate,climate_action,hierarchical,3,3,0.4444333333333333,0.39999999999999997,4,2,0.806775,0.829725,0.0,0.0
climate_justice_youth,climate_action,linear_chain,5,1,0.5375,0.5375,6,0,1.375,1.375,0.0,0.0
climate_justice_youth,climate_action,ring,5,1,0.25,0.25,6,0,1.375,1.375,0.0,0.0
climate_justice_youth,climate_action,random_er,5,1,0.275,0.29378000000000004,6,0,1.3230000000000002,1.3320499999999997,0.0,0.0
climate_justice_youth,climate_action,small_world,6,0,0.31255,0.31015,6,0,1.1096833333333334,1.1108666666666667,0.0,0.0
climate_justice_youth,climate_action,scale_free,4,2,0.33532500000000004,0.33465000000000006,6,0,1.3864500000000002,1.3829,0.0,0.0
climate_justice_youth,climate_action,echo_chamber,6,0,0.03985,0.0399,6,0,1.4912833333333333,1.5012166666666664,0.0,0.16666666666666666
climate_justice_youth,climate_action,polarized,6,0,0.006883333333333334,0.0070999999999999995,4,2,1.104175,1.133675,0.0,0.0
climate_justice_youth,climate_action,hierarchical,4,2,0.3125,0.3125,6,0,1.2256,1.20505,0.0,0.0
mitigation_first_policy,climate_action,linear_chain,4,2,0.125,0.125,6,0,1.0277833333333335,1.0277833333333335,0.0,0.0
mitigation_first_policy,climate_action,ring,5,1,0.1,0.1,6,0,0.9166666666666666,0.9166666666666666,0.0,0.0
mitigation_first_policy,climate_action,random_er,5,1,0.045880000000000004,0.04564,6,0,0.7542833333333333,0.7535000000000002,0.0,0.0
mitigation_first_policy,climate_action,small_world,6,0,0.008333333333333333,0.008333333333333333,5,1,0.8419800000000001,0.8423400000000001,0.0,0.0
mitigation_first_policy,climate_action,scale_free,4,2,0.032075,0.031175,6,0,0.5522333333333332,0.5494833333333333,0.0,0.0
mitigation_first_policy,climate_action,echo_chamber,6,0,0.01065,0.010033333333333333,5,1,0.51996,0.50934,0.0,0.0
mitigation_first_policy,climate_action,polarized,6,0,0.0008166666666666666,0.0014833333333333332,5,1,0.70588,0.7044,0.0,0.0
mitigation_first_policy,climate_action,hierarchical,3,3,0.11109999999999999,0.11109999999999999,4,2,0.677225,0.6676500000000001,0.0,0.0
environmental_concern,science_env,linear_chain,5,1,0.22858,0.22858,6,0,1.0833333333333333,1.0833333333333333,0.0,0.0
environmental_concern,science_env,ring,6,0,0.28125,0.28125,6,0,0.75,0.75,0.0,0.0
environmental_concern,science_env,random_er,4,2,0.34235000000000004,0.34475,4,2,0.930075,0.9312,0.0,0.0
environmental_concern,science_env,small_world,3,3,0.007933333333333334,0.020833333333333332,1,5,1.8,1.875,0.0,0.0
environmental_concern,science_env,scale_free,5,1,0.26364,0.26666,3,3,0.8333333333333334,0.8333333333333334,0.0,0.0
environmental_concern,science_env,echo_chamber,6,0,0.004116666666666667,0.0061,5,1,0.8779,0.87684,0.0,0.0
environmental_concern,science_env,polarized,6,0,0.021183333333333332,0.02415,6,0,0.48491666666666666,0.4931666666666667,0.0,0.0
environmental_concern,science_env,hierarchical,5,1,0.0,0.0,6,0,0.7681,0.7285666666666666,0.0,0.0
biodiversity_food_security,science_env,linear_chain,5,1,0.3,0.3,6,0,1.18055,1.18055,0.0,0.0
biodiversity_food_security,science_env,ring,5,1,0.33584,0.33584,5,1,1.28572,1.28572,0.0,0.0
biodiversity_food_security,science_env,random_er,6,0,0.21866666666666668,0.21995,4,2,1.327425,1.3322,0.0,0.0
biodiversity_food_security,science_env,small_world,3,3,0.0625,0.07143333333333333,5,1,0.8745200000000001,0.81836,0.0,0.0
biodiversity_food_security,science_env,scale_free,5,1,0.26568,0.26694,6,0,1.1907500000000002,1.1907833333333333,0.0,0.0
biodiversity_food_security,science_env,echo_chamber,5,1,0.21936000000000005,0.2205,4,2,1.4068999999999998,1.40025,0.0,0.0
biodiversity_food_security,science_env,polarized,5,1,0.17104,0.17246,2,4,1.0,1.0,0.0,0.0
biodiversity_food_security,science_env,hierarchical,5,1,0.0,0.0,5,1,0.8949,0.8988200000000001,0.0,0.0
ozone_stratosphere_specialist,science_env,linear_chain,6,0,0.125,0.125,6,0,0.9682666666666666,0.9682666666666666,0.0,0.0
ozone_stratosphere_specialist,science_env,ring,5,1,0.225,0.225,5,1,0.85,0.85,0.0,0.0
ozone_stratosphere_specialist,science_env,random_er,3,3,0.0,0.0,3,3,1.223,1.2206666666666666,0.0,0.0
ozone_stratosphere_specialist,science_env,small_world,5,1,0.16666,0.16666,5,1,0.88666,0.9000000000000001,0.0,0.0
ozone_stratosphere_specialist,science_env,scale_free,5,1,0.36666,0.35416,3,3,1.0071333333333332,1.0194333333333334,0.0,0.0
ozone_stratosphere_specialist,science_env,echo_chamber,6,0,0.15446666666666664,0.15695,4,2,0.9177500000000001,0.8689000000000001,0.0,0.0
ozone_stratosphere_specialist,science_env,polarized,6,0,0.1755833333333333,0.19268333333333332,6,0,1.0549833333333332,1.0419833333333333,0.0,0.0
ozone_stratosphere_specialist,science_env,hierarchical,3,3,0.0,0.0,5,1,0.8959999999999999,0.8973599999999999,0.0,0.0
science_journalist,science_env,linear_chain,3,3,0.0,0.0,6,0,0.625,0.625,0.0,0.0
science_journalist,science_env,ring,5,1,0.1125,0.1125,6,0,0.7708333333333334,0.7708333333333334,0.0,0.0
science_journalist,science_env,random_er,5,1,0.00992,0.018820000000000003,5,1,0.67294,0.6613600000000001,0.0,0.0
science_journalist,science_env,small_world,4,2,0.004900000000000001,0.00505,5,1,0.4156000000000001,0.41938,0.0,0.0
science_journalist,science_env,scale_free,5,1,0.05174000000000001,0.051480000000000005,3,3,0.8321999999999999,0.8404000000000001,0.0,0.0
science_journalist,science_env,echo_chamber,4,2,0.02205,0.02175,4,2,0.7544249999999999,0.684175,0.0,0.0
science_journalist,science_env,polarized,5,1,0.02382,0.02436,6,0,0.7463833333333333,0.7573166666666666,0.0,0.0
science_journalist,science_env,hierarchical,6,0,0.008133333333333334,0.005583333333333333,4,2,0.62405,0.633075,0.0,0.0
climate_scientist,science_env,linear_chain,5,1,0.0,0.0,6,0,0.75,0.75,0.0,0.0
climate_scientist,science_env,ring,6,0,0.020833333333333332,0.020833333333333332,5,1,0.7,0.7,0.0,0.0
climate_scientist,science_env,random_er,5,1,0.0316,0.031439999999999996,6,0,0.83595,0.8604333333333333,0.0,0.0
climate_scientist,science_env,small_world,6,0,0.003933333333333333,0.005566666666666667,6,0,0.5239666666666666,0.5233,0.0,0.0
climate_scientist,science_env,scale_free,6,0,0.022416666666666668,0.022316666666666665,4,2,1.0658500000000002,1.070975,0.0,0.0
climate_scientist,science_env,echo_chamber,6,0,0.00325,0.003133333333333333,5,1,0.68648,0.6904,0.0,0.0
climate_scientist,science_env,polarized,5,1,0.00886,0.00778,6,0,0.7638833333333332,0.7777666666666666,0.0,0.0
climate_scientist,science_env,hierarchical,3,3,0.0,0.0,5,1,0.77668,0.76954,0.0,0.0
