topology,label,meanMI_T2c_H,meanMI_T2d_He,delta_T2d_He_minus_T2c_H,n_live_T2c_H,n_live_T2d_He,meanMI_T2d_H,meanMI_T2c_He,delta_T2c_He_minus_T2d_H,n_live_T2d_H,n_live_T2c_He,do_not_pool_into_one_mean
linear_chain,CROSS-MODE two factors (identity AND scoring mode),0.9128564516129032,2.0852121212121215,1.1723556695992183,62,33,1.612745588235294,0.8638,-0.7489455882352939,68,32,True
ring,CROSS-MODE two factors (identity AND scoring mode),0.9160261538461538,2.1768060606060606,1.2607799067599068,65,33,1.6402229508196722,0.8760090909090908,-0.7642138599105813,61,33,True
random_er,CROSS-MODE two factors (identity AND scoring mode),0.8736350877192983,2.041151724137931,1.167516636418633,57,29,1.780901785714286,0.6593344827586207,-1.1215673029556652,56,29,True
small_world,CROSS-MODE two factors (identity AND scoring mode),0.7214875000000001,1.9096343750000002,1.1881468750000002,56,32,1.5976559322033899,0.7544774193548386,-0.8431785128485513,59,31,True
scale_free,CROSS-MODE two factors (identity AND scoring mode),0.9205133333333335,1.9923931034482758,1.0718797701149423,60,29,1.6990877192982456,0.8157366666666666,-0.8833510526315791,57,30,True
echo_chamber,CROSS-MODE two factors (identity AND scoring mode),0.849026984126984,1.9631500000000002,1.1141230158730162,63,30,1.798418032786885,1.377471875,-0.42094615778688516,61,32,True
polarized,CROSS-MODE two factors (identity AND scoring mode),0.8356415384615384,1.8830038461538459,1.0473623076923073,65,26,1.7015228070175439,1.4136880000000003,-0.2878348070175436,57,25,True
hierarchical,CROSS-MODE two factors (identity AND scoring mode),0.8751326923076923,2.5933821428571426,1.7182494505494503,52,28,1.631540677966102,1.5241769230769233,-0.1073637548891786,59,26,True
