topology,articleId,mode,n_live_H,n_live_He,meanMI_H,meanMI_He,delta_He_minus_H,kStar_H,kStar_He
scale_free,scopex_2017,dual-discrete,10,4,1.4730699999999999,2.0518750000000003,0.5788050000000005,0.2,0.25
scale_free,chemtrails_gates_2018_2021,continuous,11,6,1.4832272727272728,1.6377166666666667,0.15448939393939387,0.36363636363636365,0.0
scale_free,chemtrails_gates_2018_2021,dual-discrete,10,4,2.36275,2.376425,0.01367499999999966,0.4,0.25
scale_free,sai_geoengineering,continuous,8,5,0.199,0.07496,-0.12404000000000001,0.0,0.0
scale_free,sai_geoengineering,dual-discrete,8,4,0.9920125,0.9781249999999999,-0.013887500000000053,0.0,0.0
scale_free,paris_agreement,continuous,11,4,1.3396545454545457,1.8435,0.5038454545454543,0.2727272727272727,0.5
scale_free,paris_agreement,dual-discrete,8,6,1.787475,2.61255,0.8250750000000002,0.25,0.5
scale_free,climate_consensus,continuous,10,5,1.52834,0.85398,-0.6743600000000001,0.3,0.0
scale_free,climate_consensus,dual-discrete,9,6,2.775744444444445,2.4940166666666665,-0.28172777777777824,0.4444444444444444,0.6666666666666666
scale_free,polar_bears,continuous,10,6,0.03697,0.024249999999999997,-0.012720000000000006,0.0,0.0
scale_free,polar_bears,dual-discrete,12,5,0.9597749999999999,1.1028600000000002,0.14308500000000024,0.0,0.0
echo_chamber,scopex_2017,continuous,11,6,0.5385909090909091,1.1503333333333334,0.6117424242424243,0.0,0.0
echo_chamber,scopex_2017,dual-discrete,11,6,1.5194909090909092,2.0560666666666667,0.5365757575757575,0.36363636363636365,0.3333333333333333
echo_chamber,chemtrails_gates_2018_2021,continuous,12,6,1.2045166666666667,1.6430999999999998,0.4385833333333331,0.25,0.0
echo_chamber,chemtrails_gates_2018_2021,dual-discrete,9,6,2.3263777777777777,1.8434666666666668,-0.48291111111111085,0.3333333333333333,0.16666666666666666
echo_chamber,sai_geoengineering,continuous,9,5,0.2069555555555556,0.3445,0.13754444444444439,0.0,0.0
echo_chamber,sai_geoengineering,dual-discrete,10,4,1.59951,1.2095500000000001,-0.38995999999999986,0.0,0.0
echo_chamber,paris_agreement,continuous,12,5,0.9393416666666666,2.29414,1.3547983333333335,0.08333333333333333,0.2
echo_chamber,paris_agreement,dual-discrete,10,4,1.8396200000000005,2.7068749999999997,0.8672549999999992,0.3,0.5
echo_chamber,climate_consensus,continuous,9,5,2.184188888888889,2.81394,0.6297511111111112,0.4444444444444444,0.4
echo_chamber,climate_consensus,dual-discrete,10,6,2.6762,2.555283333333333,-0.120916666666667,0.4,0.3333333333333333
echo_chamber,polar_bears,continuous,10,5,0.03176,0.01112,-0.02064,0.0,0.0
echo_chamber,polar_bears,dual-discrete,11,4,0.9907636363636363,1.124975,0.13421136363636377,0.0,0.0
polarized,scopex_2017,continuous,12,3,0.8487749999999998,1.0574666666666668,0.20869166666666694,0.08333333333333333,0.0
polarized,scopex_2017,dual-discrete,9,4,2.032588888888889,2.4715249999999997,0.43893611111111097,0.3333333333333333,0.75
polarized,chemtrails_gates_2018_2021,continuous,9,5,1.2396222222222224,2.1057200000000003,0.8660977777777779,0.3333333333333333,0.0
polarized,chemtrails_gates_2018_2021,dual-discrete,8,6,1.5057625000000001,1.48475,-0.0210125000000001,0.25,0.5
polarized,sai_geoengineering,continuous,9,5,0.17585555555555554,0.05056000000000001,-0.12529555555555555,0.0,0.0
polarized,sai_geoengineering,dual-discrete,10,5,1.2981099999999999,0.7171200000000001,-0.5809899999999998,0.1,0.0
polarized,paris_agreement,continuous,12,4,1.375608333333333,2.236675,0.8610666666666669,0.25,0.25
polarized,paris_agreement,dual-discrete,11,3,2.3076272727272724,2.0224333333333333,-0.2851939393939391,0.2727272727272727,0.3333333333333333
polarized,climate_consensus,continuous,11,5,1.345590909090909,2.48834,1.142749090909091,0.2727272727272727,0.4
polarized,climate_consensus,dual-discrete,11,5,1.650063636363636,3.3596199999999996,1.7095563636363635,0.2727272727272727,0.8
polarized,polar_bears,continuous,12,3,0.006941666666666666,0.0,-0.006941666666666666,0.0,0.0
polarized,polar_bears,dual-discrete,8,3,1.25935,1.2375,-0.021849999999999925,0.0,0.0
hierarchical,scopex_2017,continuous,9,4,0.9830888888888888,0.091675,-0.8914138888888887,0.0,0.0
hierarchical,scopex_2017,dual-discrete,12,4,1.3903916666666667,2.84855,1.4581583333333332,0.3333333333333333,0.25
hierarchical,chemtrails_gates_2018_2021,continuous,7,5,1.2815428571428573,3.23784,1.9562971428571425,0.2857142857142857,0.8
hierarchical,chemtrails_gates_2018_2021,dual-discrete,11,4,2.2368363636363635,3.375,1.1381636363636365,0.36363636363636365,0.75
hierarchical,sai_geoengineering,continuous,9,6,0.45647777777777776,0.30378333333333335,-0.1526944444444444,0.0,0.0
hierarchical,sai_geoengineering,dual-discrete,10,5,1.29238,1.19838,-0.09400000000000008,0.0,0.0
hierarchical,paris_agreement,continuous,9,2,1.5758111111111113,2.9375,1.3616888888888887,0.2222222222222222,0.5
hierarchical,paris_agreement,dual-discrete,8,5,1.2142249999999999,3.19572,1.9814950000000002,0.25,0.8
hierarchical,climate_consensus,continuous,7,4,1.294857142857143,3.754475,2.459617857142857,0.2857142857142857,0.75
hierarchical,climate_consensus,dual-discrete,10,4,2.46263,4.8125,2.34987,0.4,1.0
hierarchical,polar_bears,continuous,11,5,0.030336363636363637,0.07142,0.041083636363636364,0.0,0.0
hierarchical,polar_bears,dual-discrete,8,6,0.9633875000000001,1.0833333333333333,0.1199458333333332,0.0,0.0
