articleId,arm,n_live_continuous,continuous_MPR,n_live_dual,discrete_MPR,kStar_continuous,kStar_dual
scopex_2017,H,88,0.7321681818181819,78,1.5390346153846155,0.011363636363636364,0.24358974358974358
scopex_2017,He,40,0.7693725,38,2.3717526315789472,0.0,0.42105263157894735
chemtrails_gates_2018_2021,H,82,1.354109756097561,85,2.138298823529412,0.2926829268292683,0.32941176470588235
chemtrails_gates_2018_2021,He,40,1.7851975000000002,42,2.388457142857143,0.1,0.38095238095238093
sai_geoengineering,H,76,0.19738815789473685,80,1.3576462500000002,0.0,0.0125
sai_geoengineering,He,43,0.15225813953488374,38,1.1160368421052633,0.0,0.0
paris_agreement,H,81,1.3356827160493827,74,1.7320689189189187,0.24691358024691357,0.25675675675675674
paris_agreement,He,37,1.6820675675675676,39,2.4591153846153846,0.16216216216216217,0.5128205128205128
climate_consensus,H,72,1.5934194444444443,80,2.26100375,0.3194444444444444,0.35
climate_consensus,He,37,1.8895756756756756,43,2.8991023255813952,0.21621621621621623,0.5581395348837209
polar_bears,H,81,0.01847654320987654,81,1.0399345679012346,0.0,0.012345679012345678
polar_bears,He,41,0.04148048780487804,40,1.1444225,0.0,0.025
